,content
0,Hundreds gather in Toronto in support of U.S. rally for gun control <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyper
1,"After a day filled with a variety of different cuisines, enjoy a stroll along the #Corniche and watch the colours of the sky transform for sunset. ☀️ 📸  Wolf (Instagram) <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyper"
2,"Can you guess the player being given out here? (Hint: c MSD)

#MIvCSK #IPL2020 <hyperlink> <hyperlink> <mention> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink"
3,Who is ready to get scared? Check out the new poster for #ScaryStoriesMovie. Coming to AMC this August! <mention> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyper
4,"Small acts — for self care, for loved ones, for strangers, for our planet — can go a long way. Let’s take care of each other ❤️🌎 <hyperlink> #Greenpeace <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink"
5,Join us for a #webinar showcasing some of the best examples of innovation in #digital and mobile health one week from today! 💻 Register now: <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyper
6,COVID 19: No Shortage Of PPEs In FCTA Health Facilities <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyper
7,🔥Why you all up in my grill???🤪🔥 #GratOtude #BBqQuarantineKing #LicenseToGrill <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyper
8,China Will Not Accept U.S. ‘Theft’ Of TikTok <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyperlink> <hyper
9,"“No link”!

You can’t - as the director of a company - claim ignorance of another company’s affairs if you’re the guy running both companies.

And don’t get me started on using the same basic template for both statements... <hyperlink> #Ows #OWS #Owss

<mention> <mention> <mention> <mention> <mention> <mention> <mention> <mention> <mention> <mention> <mention> <mention> <mention>"
